{{3,57,7820},
{3,48,2},
{3,53,593},
{3,54,945},
{1,330,1},
{0,0,0},
{3,48,3},
{3,54,946},
{0,0,0},
{3,54,947},
{0,0,0},
{3,53,592},
{0,0,0},
{3,54,948},
{0,0,0},
{3,54,949},
{0,0,0},
{3,54,950},
{0,0,0},
{3,53,591},
{0,0,0},
{3,54,951},
{0,0,0},
{3,53,590},
{0,0,0},
{3,54,952},
{0,0,0},
{3,53,589},
{0,0,0},
{3,53,588},
{3,54,953},
{0,0,0},
{3,53,587},
{0,0,0},
{3,53,586},
{3,54,954},
{0,0,0},
{3,53,585},
{0,0,0},
{3,54,955},
{0,0,0},
{3,53,584},
{0,0,0},
{3,54,956},
{0,0,0},
{3,53,583},
{0,0,0},
{3,53,582},
{0,0,0},
{3,53,581},
{0,0,0},
{3,53,580},
{0,0,0},
{3,53,579},
{3,47,1},
{3,57,7821},
{3,48,3},
{3,53,579},
{3,54,1474},
{0,0,0},
{3,47,0},
{3,53,578},
{0,0,0},
{3,47,1},
{3,53,578},
{0,0,0},
{3,47,0},
{3,53,577},
{3,47,1},
{3,53,577},
{3,54,1475},
{0,0,0},
{3,53,576},
{3,54,1478},
{0,0,0},
{3,53,575},
{3,54,1481},
{0,0,0},
{3,53,574},
{3,54,1485},
{0,0,0},
{3,47,0},
{3,53,576},
{3,47,1},
{3,53,572},
{3,54,1489},
{0,0,0},
{3,53,571},
{3,54,1493},
{0,0,0},
{3,53,570},
{3,54,1498},
{0,0,0},
{3,53,569},
{3,54,1503},
{0,0,0},
{3,47,0},
{3,54,957},
{3,47,1},
{3,53,568},
{3,54,1507},
{0,0,0},
{3,54,1512},
{0,0,0},
{3,47,0},
{3,53,575},
{3,47,1},
{3,53,567},
{3,54,1516},
{0,0,0},
{3,53,566},
{3,54,1520},
{0,0,0},
{3,53,565},
{3,54,1523},
{0,0,0},
{3,54,1527},
{0,0,0},
{3,47,0},
{3,53,574},
{3,47,1},
{3,53,564},
{3,54,1529},
{0,0,0},
{3,54,1532},
{0,0,0},
{3,54,1534},
{0,0,0},
{3,54,1535},
{0,0,0},
{3,54,1536},
{0,0,0},
{3,47,0},
{3,53,573},
{3,47,1},
{3,53,565},
{0,0,0},
{3,54,1535},
{0,0,0},
{3,53,566},
{3,54,1534},
{0,0,0},
{3,47,0},
{3,53,572},
{3,47,1},
{3,53,568},
{3,54,1533},
{0,0,0},
{3,53,570},
{3,54,1530},
{0,0,0},
{3,47,0},
{3,54,958},
{3,47,1},
{3,53,572},
{3,54,1528},
{0,0,0},
{3,47,0},
